"flounder<br/>He lost the next page of his speech and floundered around/about for a few seconds.<br/> Although his business was a success, his marriage was floundering.<br/> Richardson resigned as chairman, leaving the company floundering.","flounder<br/>to move awkwardly or to be in an awkward or difficult situation: <br/><img src=""flounder.jpg"">",/ˈflaʊn.dɚ/<br/>[sound:flounder.mp3]
"interlude<br/>After a brief interlude working as an architect, he went travelling.<br/> The musical interludes don't really fit in with the rest of the play.",interlude<br/>a short period when a situation or activity is different from what comes before and after it: ,/ˈɪn.t̬ɚ.luːd/<br/>[sound:interlude.mp3]
repository<br/>,repository<br/>a place where things are stored and can be found,/rɪˈpɑː.zɪ.tɔːr.i/<br/>[sound:repository.mp3]
vermouth<br/>,vermouth<br/>a strongly alcoholic red or white wine flavoured with herbs and spices,/vɚˈmuːθ/<br/>[sound:vermouth.mp3]
gin<br/>a bottle of gin<br/> a gin and tonic,"gin<br/>a clear, strong alcoholic drink flavoured with juniper berries (= small fruits): ",/dʒɪn/<br/>[sound:gin.mp3]
artillery<br/>Naval gunfire and ground-based artillery are generally less accurate than many aircraft-borne weapons.,"artillery<br/>very large guns that are moved on wheels or metal tracks, or the part of the army that uses these: ",/ɑːrˈtɪl.ɚ.i/<br/>[sound:artillery.mp3]
anarchy<br/>What we are witnessing is the country's slow slide into anarchy.<br/> The country has been in <b><i>a state of</i></b> anarchy since the inconclusive election.<br/> If the pay deal isn't settled amicably there'll be anarchy in the factories.,"anarchy<br/>a situation in which there is no organization and control, especially in society, because there is no effective government: ",/ˈæn.ɚ.ki/<br/>[sound:anarchy.mp3]
torso<br/>The airbag will protect the head and torso.<br/> a famous marble torso,"torso<br/>the human body considered without head, arms, or legs, or a statue representing this: <br/><img src=""torso.jpg"">",/ˈtɔːr.soʊ/<br/>[sound:torso.mp3]
swivel<br/>She swivelled round to look out of the window.<br/> The ostrich swivelled its head in our direction.,swivel<br/>to (cause to) turn around a central point in order to face in another direction: ,/ˈswɪv.əl/<br/>[sound:swivel.mp3]
"conjugate<br/>The verb ""to be"" conjugates irregularly.","conjugate<br/>If a verb conjugates, it has different forms that show different tenses, the number of people it refers to, etc., and if you conjugate a verb, you list its different forms: ",/ˈkɑːn.dʒə.ɡeɪt/<br/>[sound:conjugate.mp3]
